No.,Project ,Part Number,Part Description
475,GRG GSB,502011552,ME01 and MF03(with Cable and Gear)
476,GRG GSB,502011553,ME02(with Cable and Gear)
477,GRG GSB,502011649,MC01(Motor with Cable and Gear)
478,GRG GSB,502012281,Bezel assy.
479,GRG GSB,502012560,Motor Assy
480,GRG GSB,502014045,diverter (AC-CT) Generic Component
481,GRG GSB,"502014949002,",CRM9250N RC cassette (English CNY100)
482,GRG GSB,"502014949052,",RECYCLING CASSATTE
483,GRG GSB,"502014949070,",CRM9250NRC
484,GRG GSB,502015117,Card return on Power failure
485,GRG GSB,502015969,TRP-006R printer sensor and motor cable
486,GRG GSB,502017581,9250-UNV(MDT+HEC)
487,GRG GSB,502018807,SANKYO-0180 EASD module
488,GRG GSB,502021657,UNV MODULE
489,GRG GSB,602010410001,4x1 FKP - metal casing
490,GRG GSB,7010000186,H-CDU F/L Unit
491,GRG GSB,702040508,C/R External Capacitor MK-30V-P0.4FHS
492,GRG GSB,708030012,U-type Sensor/OJ-551-A5/ALEPH
493,GRG GSB,708030016,Coder (OSS-05-2C)
494,GRG GSB,708030034,MOD_SENSOR_U_SG2 48
495,GRG GSB,708030048,SENSOR (G310/ EMITTER)
496,GRG GSB,708030049,SENSOR (DIG310D/ RECEIVER)
497,GRG GSB,708030524,Photoelectric position sensor /SIS-PT16/
498,GRG GSB,708040006,Sensor FI-406GB11
499,GRG GSB,708050003,Preread magnetic head
500,GRG GSB,708050014,R/W Head Assy.(0188 type)
501,GRG GSB,711010018,TRP-005 Print headLTP2242
502,GRG GSB,711010021,TRP-003 print headBT-T080
503,GRG GSB,711010513,Thermal printer head/PT72AS-A/Pratt
504,GRG GSB,711060003,Step Motor(STH-39D2011GAN)
505,GRG GSB,711060005,Step Motor STP-59D5055GAN
506,GRG GSB,711060008,steo motor/STP-60D3007GAN
507,GRG GSB,711060049,Step motor(42_STP-45D0009)
508,GRG GSB,711080012,rotary Solenoid
509,GRG GSB,711090500,Soleniod SMTR-3616LR16AA
510,GRG GSB,711100033,IPC-011 Case Fan(RDH1225B)
511,GRG GSB,711100506,CPU Fan
512,GRG GSB,711110045,DPDT switch 1DM401(Honeywell)
513,GRG GSB,711110046,DPDT switch 2DM409(Honeywell)
514,GRG GSB,714020040,Bevel Gear (0818-m1.5)
515,GRG GSB,714070042,NOTE FEEDER RUBBER
516,GRG GSB,714070084,Capture Roller
517,GRG GSB,714110030,RC IMPELLER 1
518,GRG GSB,714110031,RC IMPELLER 2
519,GRG GSB,715010055,Flat Belt SE-N-SMV110*429*0.65
520,GRG GSB,715010067,Belt 372 X 12 X 0.65
521,GRG GSB,715010165,tape (with black end)
522,GRG GSB,715010166,tape (no black end)
523,GRG GSB,715030021,Belt 141*6S3M
524,GRG GSB,716010197,OD24 PRINTER PAPER SPINDLE
525,GRG GSB,718010020,LIGHT RAIL (3507-524)
526,GRG GSB,718010040,28-inch LIGHT LEFT RAIL (3732-207-L)
527,GRG GSB,718010041,28-inch LIGHT RIGHT RAIL (3732-207-R)
528,GRG GSB,718010059,34-inch EXTENDED6-inch HEAVY DUTY RAIL
529,GRG GSB,718010066,36-inch EXTENDED4-inch RAIL(C3551-109)
530,GRG GSB,720110168,ABA lock9439(with different keys)
531,GRG GSB,720110171,#ABA lock 9249(common key)
532,GRG GSB,720110182,Cassette Lock -ABA
533,GRG GSB,721010055,Prism D34
534,GRG GSB,721010104,Human Proximity Sensor Glass
535,GRG GSB,721030420,Privacy Film
536,GRG GSB,721030421,60 Privacy Filter /B-HDPV400AG
537,GRG GSB,724010102,ROUND HEAD CROSS SCREW M3X16
538,GRG GSB,724010102-10PCS,ROUND HEAD CROSS SCREW M3X16 (10PCS./PACK)
539,GRG GSB,724010134,M3*6 COMBINATION SCREW
540,GRG GSB,724010134-10PCS,M3*6 COMBINATION SCREW (10PCS./PACK)
541,GRG GSB,724010207,4x1 FKP - M4x10 tapping screw
542,GRG GSB,724010207-10PCS,4x1 FKP - M4x10 tapping screw (10PCS./PACK)
543,GRG GSB,724010615,SCREW M4X45
544,GRG GSB,724010615-10PCS,SCREW M4X45 (10PCS./PACK)
545,GRG GSB,724040110,M6 WASHER
546,GRG GSB,724040110-10PCS,M6 WASHER (10PCS./PACK)
547,GRG GSB,724050011,COMBINATION SCREW M4X8
548,GRG GSB,724050011-10PCS,COMBINATION SCREW M4X8 (10PCS./PACK)
549,GRG GSB,724080028,Non-solid pin 2.5X14(thichness=0.5)
550,GRG GSB,724080029,Non-solid pin 2.5*20
551,GRG GSB,725017325,Connector guide-plate
552,GRG GSB,725030904002,CRM9250 upper unit lock cover (including 725030903 lock bolt and 720110171 key lock)
553,GRG GSB,725040564,PANEL METAL HINGE
554,GRG GSB,725041951,FAN SUPPORT 1
555,GRG GSB,725041954,H68NL-829 CASH WITHDRAWAL
556,GRG GSB,725041955,H68NL-829 MONITOR LENS PRESS BOARD
557,GRG GSB,726010332,RC base plate
558,GRG GSB,726010333,RC top plate
559,GRG GSB,726010353,AC Top-plate
560,GRG GSB,726010463,cassette adjust shim
561,GRG GSB,726010464,adjustor connector (left)
562,GRG GSB,726010465,adjustor connector (right)
563,GRG GSB,726010527,Belt-lock for Top plate belt
564,GRG GSB,726010528,Belt-lock for Pressure plate belt
565,GRG GSB,726011415,key cap
566,GRG GSB,726021449,4x1 FKP - silicon rubber
567,GRG GSB,727020429001,4x1 FKP - button cap
568,GRG GSB,728022100,Hydraulic rod(450N)
569,GRG GSB,801060527,Stylus
570,GRG GSB,801070044,Thermal Receipt Printer(Slip paper) (6Roll/Box)
571,GRG GSB,801070044-1,Thermal Receipt Printer(Slip paper) (9Roll/Box)
572,GRG GSB,801070044-2,Thermal Receipt Printer(Slip paper) (3Roll/Box)
573,GRG GSB,803030019,Calibration Note
574,GRG GSB,9103-53862XG1-00,UPS Santak
575,GRG GSB,AD. V030004,ADAPTER
576,GRG GSB,AN.J V030006,ANTI JUMP
577,GRG GSB,B. V030001,BOX ALARM
579,GRG GSB,CER111-5PCS,CE report (5PCS./PACK)
580,GRG GSB,DD2FWB4AB5XFFB2X,MDM i9000S
581,GRG GSB,NBC9000S,Battery Charger for i9000S
582,GRG GSB,R. V030002,REMOTE
583,GRG GSB,SC. V030007,SET CABLE
584,GRG GSB,SP. V030005,SPEAKER
586,GRG GSB ATM,201020185046-GA,"CDM8240N(FS,SHORT,4NC)"
587,GRG GSB ATM,201020185103-GA,CDM8240N(FS/SHORT NP/2 NC/NEW CHANNEL)
588,GRG GSB ATM,201020186034-GA,"CDM8240N(RS,Long,no NV,4 NC )"
589,GRG GSB ATM,201020186102-GA,CDM8240N(FS/NO NC/NO RETRACT VAULT)
590,GRG GSB ATM,202011014-GA,CARD READER (CRT-350-NJ10)
591,GRG GSB ATM,202011056-GA,CARD READER (SANKYO/ ICT3Q8-3H0180-S)
592,GRG GSB ATM,202020376-GA,CARD READER(CRT-603-P200-001)
593,GRG GSB ATM,202060389-GA,Barcode Scanner/NT0810H
594,GRG GSB ATM,205011004001-GA,WITHDRAWAL  SHUTTER (WST-004)
595,GRG GSB ATM,206010182018-GA,EPP-004 KEYPAD (ENGLISH/THAI VERSION)
596,GRG GSB ATM,206010182020-GA,EPP004 Key Pad (English Version)
597,GRG GSB ATM,207040197002-GA,THERMAL RECEIPT PRINTER(TRP-006R)
598,GRG GSB ATM,208010187-GA,POWER SUPPLY(FSP300-70PFL)
599,GRG GSB ATM,208010270-GA,POWER SUPPLY(GW-FLX1800SSA/180W)
600,GRG GSB ATM,208010276-GA,POWER SUPPLY (PSU-3203)
601,GRG GSB ATM,210020232-GA,SPEAKER(LF-501S)
602,GRG GSB ATM,211010408001-GA,BINOCULAR CAMERA(GDZS-DC004-EJVL)
603,GRG GSB ATM,211010408-GA,BINOCULAR CAMERA(GDZS-DC004-EJVL)
604,GRG GSB ATM,211010662-GA,USB Camera DV-U3303WP205AD
605,GRG GSB ATM,213040191002-GA,SECURED CARD SLOT MODULE (SCM-001A）
606,GRG GSB ATM,213040191003-GA,SECURED CARD SLOT MODULE (SCM-001A/GD）
607,GRG GSB ATM,214010191022-GA,IPC-014(I5-3550 4GM 1T HD/IEI)
608,GRG GSB ATM,214010946-GA,IPC-102-03DX(i5-6500/8/256GSDMS）
609,GRG GSB ATM,214011490-GA,IPC-102-03DX(i5-6500/16/2X1TSD)
610,GRG GSB ATM,214020210-GA,Seagate ST1000DM010
611,GRG GSB ATM,214020527-GA,HARD DISK(AirDisk/AMF10/3.0 INCH/256G)
612,GRG GSB ATM,214020564-GA,SSD(XS300S001T/1T/SATA3 2.5)
613,GRG GSB ATM,214040210-GA,GRG-S7018(4GM/128G/mSATA/with cable)
614,GRG GSB ATM,214040316-GA,MIANBOARD/GRG-M1063/H110/10×USB/10×COM
615,GRG GSB ATM,214100011-GA,DVD ROM(LITEON/IHAS124)
616,GRG GSB ATM,215030222-GA,10-inch TOUCH SCREEN (MON-1001)
617,GRG GSB ATM,215030536-GA,TOUCH SCREEN/MON-1501/6CB01/8BOE
618,GRG GSB ATM,215050235-GA,"15-INCH SCREEN/MON-1501(NLT,CB01)"
619,GRG GSB ATM,215050240-GA,15-inch DISPLAY(MON-1501/NLT/NCB01)
620,GRG GSB ATM,216010006-GA,LAGARD PASSWORD LOCK (3390+1777)
621,GRG GSB ATM,216020190002-GA,TAIZHOU LOCK(FDS-B-8K-2)
622,GRG GSB ATM,301011640-GA,IO SIGNAL CONTROL BOARD
623,GRG GSB ATM,401042853-GA,SPEAKER SIGNAL EXTENSION CABLE
624,GRG GSB ATM,502010240-GA,Link transportation (rear service)
625,GRG GSB ATM,502011292-GA,4X1 KEYBOARD BOARD BINDING ASSY
626,GRG GSB ATM,502011771-GA,CDM Note Feeder
627,GRG GSB ATM,502011775-GA,Note presenter/ NP(long)
628,GRG GSB ATM,502014463-GA,NOTE FEEDER(CDM8240N)
629,GRG GSB ATM,502014469001-GA,CDM8240N TRANSPORT ASSY (FS)
630,GRG GSB ATM,502014469005-GA,CDM8240N TRANSPORT ASSY (FS)
631,GRG GSB ATM,502014499-GA,Short presenters of note delivery module
632,GRG GSB ATM,502014501-GA,Long presenters of note delivery module
633,GRG GSB ATM,502014572-GA,MAIN BOARD (CDM8240N)
634,GRG GSB ATM,502015962001-GA,CDM8240N TRANSPORT STRUCTURE MODULE
635,GRG GSB ATM,502018034-GA,ANTI-FISHING HOOK(Sankyo3H/ICT0H0-0301)
636,GRG GSB ATM,722022383-GA,CASH WITHDRAWAL LABEL(ENGLISH/H22V)
637,GRG GSB ATM,725039953-GA,SPEAKER BRACKET
638,GRG GSB ATM,725046621-GA,IPC-102-03YH REAR FIXED PLATE
639,GRG GSB ATM,725050389-GA,QR CODE BRACKET
640,GRG GSB ATM,726010376003-GA,SCREEN PANEL (NO SPRINKLING)
641,GRG GSB ATM,726012883005-GA,H22V CASH-OUT SLOT PANEL
642,GRG GSB ATM,726012890013-GA,DISPLAY PANEL
643,GRG ICBC,201020013010-IC,CDM8240(RS/Extended Routeway/4 Cassette)
644,GRG ICBC,206010182020-IC,EPP004 Key Pad (English Version)
645,GRG ICBC,301010583-IC,CDM8240 main board(6NC)
646,GRG ICBC,502011774-IC,Note Transporation
647,GRG ICBC,502011775-IC,Note presenter/ NP(long)
648,GRG ICBC,502011776-IC,Note presenter/ NP(short)
649,GRG ICBC,502011941-IC,NOTE STACKING MODULE
650,GRG ICBC,502018034-IC,ANTI-FISHING HOOK(Sankyo3H/ICT0H0-0301)
651,GRG GSB ATM,SG1KT-XP PLUS,UPS ESSCO
652,,7310000718,Carridge
653,,7310000706,Main Body HCDU (No Carridge)
654,,7760000064F,PCBA:MAINBOARD-FRONT
655,,CER112-5PCS,CE report (5PCS./PACK)/DATAONE
656,,7430000208-0100,Cassette Main CDU10-0100
657,,7430000208-0500,Cassette Main CDU10-0500
658,,7430000208-1000,Cassette Main CDU10-1000
659,,7310000702,Assy Reject CDU19 
660,,7100000216,MONITOR OPL20
661,,7100000233,MONITOR Sunlight 15' LCD
662,,7760000064R,PCBA:MAINBOARD-REAR 
663,,301010729-GA,MAIN BOARD (STANDARD/CDM8240N)
664,,502014465-GA,CDM8240N Note Cassette
665,,S7310000725,ASSY_ROTOR
666,,S5419000151,UNIT_ASSY_IC CONTACT ASSY_S13A057
667,,s5419000363,UNIT_ASSY_PCBA_S47A284A05_NIDEC
668,,S4441000048,RUBBER_PICK_UP_SF
669,,S4441000060,RUBBER_WHEEL_STACK_60PHI
670,,S4901000084,LOCK_E_LOCK-PAD_EC-0601A-SATIN
671,,S7310000715,ASSY_MAIN_MOTOR
672,,S4371000141,K-ASSY_RUBBER_STACK_82_CDU10
673,,S7430000242,UNIT_SUB_ASSY_SOL_SF
674,,S5640000126,MOTOR_DG3068_PG5
675,,S7310000718,ASSY_BS_MOLD_DB2
676,,S7310000726,ASSY_CABLE_ROTARY
677,,S4520000347,K-ASSY_BS_ST
678,,S7310000706,ASSY_RJRT_ROLLER_B
679,,7900001615,ASSY_EPP_PCI3_MX5600
680,,S4570000271,ROLLER_CAPTURE_MCRW_ICT3Q8-3A0260
681,,S5645000044,Shutter for Card Reader
682,,S5611000467,PCBA_A333_H81_MOTHER_BOARD_PCP
683,,S5510000012,MOTOR_MCRW_ICT3Q8-3A0260_SANKYO
684,,5621000002,Main Power Supply_2
,,214011665-BA,IPC-102-04DX i5-9500 16G 2*1TSSD
,,301011988-GA,CDM8240N MAIN CONTROL BOARD(GD)
,,IPC10203I516G0,IPC-102-03DX(i5-6500/16G/no SSD)
,,SPA20240528,Battery 12 V 7.2 ah
,,LONG20240626,Battery UPS-LONG(2 PCS / 1 Pack)
,,301011074,AD BOARD(ATM_DVI/VGA2281)
,,1BD142-502,Seagate Barracuda 500 GB / BAY Project
,,214020393,SATA (ST1000DM014/3.5 inch/7200R/1T/256M)
,,215030449-H,TOUCH SCREEN-KOT-215P-014
,,1PN20240917,Panel Acrylic
,,502010741,502010741    Step Motor Assy(CRM9250/RC1)
,,502011771-IC,CDM Note Feeder
,,GLOBA20241004,Battery 12V-7.2AH GLOBA Power (2 Pcs/1 Pack)
,,"502010284005,",CRM9250 NF UPPER MODULE(ENGLISH)
,,401016259-GA,8240N CASSETTE LOWER LEVE AND ID CABLE
,,301010252-GA,SENSOR BOARD (CASSETTE LOW DETECT/FOR CDM MODULE)
,,502014576-GA,EDDY CURRENT THICKNESS ASSY
,,502014469006-GA,CDM8240N TRANSPORT ASSY (FS)
,,502014469006-GA,CDM8240N TRANSPORT ASSY (FS)
,,502014487-GA,Reject Vault
,,TOOLS25012024,Tools_Bag
,,215030449,TOUCH SCREEN-KOT-215P-014
,,214020560-BA,V310-1024G-SSDV04dBB40A1024A00
,,603010310001-GA,STACKING GUIDE ROLLER FIXING FRAME
,,208010276,POWER SUPPLY (PSU-3203)
,,202011161003-GA,CARD READER CRT-350-NJ10-GS1
,,726012377003-GA,CDM8240N STACKER MECHANISM
,,716014179-GA,386 BEARING (FOR CRT-350/5x8/METAL)
,,714110033,(Set)RC IMPELLER 1+2 w BUCKLE
,,OUTDO20250701,Battery UPS-OUTDO(2 PCS / 1 Pack
,,714110033,(Set)RC IMPELLER 1+2 w BUCKLE (7 PCS / 1 Pack)
,,CER113-5PCS,CE report (5PCS./PACK)/DATAONE2
,,214020669,SSD(V310 1024G-4fLC20/2.5)#
,,401016243-GA,CDM8240N BUNDLE DEVERTER CABLE XS7
,,VITA20251015,Battery 12V-7.2AH Vitalize (2 Pcs/1 Pack)
,,3101173TE-1K,UPS Syndome
,,215050240,15-inch DISPLAY(MON-1501/NLT/NCB01)
,,"725030904002,",CRM9250 upper unit lock cover (including 725030903 lock bolt and 720110171 key lock)
,,502014575-GA,CIS rear transport light plate assembly
,,301011993,CRM9250 UPPER CONTROL BOARD(GD32)
,,720110168,ABA lock9439(with different keys)
,,726021449,4x1 FKP - silicon rubber
,,"206010182020,",EPP004 Keypad
,,214020503-GA,HDD(WD10EZEX/7200RPM/1TB)
,,714110044,EPDM CASH PICK-UP GUM WHEEL
,,214020604,HDD (DT01ACA100/1T 7200/3.5 inch/64M)
,,205011004002-GA,WITHDRAWAL SHUTTER (WST-004)
,,"214010191002,",IPC-014(i3/3.3G/4GM/2* 1T HD)
,,"502010222001,",Cash Transportation (Rear service)
,,ACR39U-U1,ACR39U(Rev.B)
